topic	term	beta
1	дефектоскопа	0.023073391671946844
1	приема	0.020048257342946355
1	пропуска	0.019835805539507853
1	пуска	0.018913823118362344
1	кольца	0.016550062457048955
1	трубопровод	0.013115583824853439
1	узел	0.012121549645764198
1	крепления	0.010842326915958479
1	задвижки	0.010569999119285276
1	полигона	0.010417335447893524
2	поля	0.015127595350462798
2	магнитного	0.014948198408786022
2	дефектов	0.013021430360511782
2	трубы	0.013003560179780955
2	магнитной	0.012282925790802285
2	внутренней	0.011356696455967921
2	сигналов	0.01133116266932991
2	дефекта	0.010507015241615228
2	дефектоскопа	0.010031615269371848
2	магнитных	0.009688592680481977
3	напряжения	0.01234724142631631
3	пэп	0.010952766496165792
3	дефектов	0.009478770854410224
3	патрубка	0.00867094014279792
3	управления	0.00849717719722595
3	внутритрубного	0.008369239395393186
3	резистора	0.008214574872124344
3	сигналов	0.008210881389320582
3	источника	0.007837193302665997
3	приборов	0.007716849500856837
4	положения	0.011017757907896273
4	корпуса	0.010287610840541297
4	определения	0.00946662202702234
4	внутритрубный	0.009409967819532183
4	внутритрубного	0.0086170228101492
4	измерений	0.008440016101152435
4	дефектоскопа	0.008147993430294398
4	корпус	0.00795992779513507
4	перемещения	0.0077856211685141
4	оси	0.007230156965913307
5	давления	0.014890293471886716
5	трубы	0.013727805963619954
5	давлением	0.011223280900451934
5	труб	0.00944533541127143
5	преобразователя	0.009223092225123868
5	очистки	0.008171580100734387
5	испытания	0.008111876294386047
5	нагружения	0.007556268329017144
5	образца	0.007111781956722013
5	внутренним	0.007000660363648234
